"","ip","app","device","os","channel","is_attributed","Hour"
"1",87540,12,1,13,497,0,19
"2",105560,25,1,17,259,0,27
"3",101424,12,1,19,212,0,36
"4",94584,13,1,13,477,0,9
"5",68413,12,1,1,178,0,18
"6",93663,3,1,17,115,0,2
"7",17059,1,1,17,135,0,2
"8",121505,9,1,25,442,0,20
"9",192967,2,2,22,364,0,19
"10",143636,3,1,19,135,0,25
"11",73839,3,1,22,489,0,16
"12",34812,3,1,13,489,0,10
"13",114809,3,1,22,205,0,20
"14",114220,6,1,20,125,0,29
"15",36150,2,1,13,205,0,1
"16",72116,25,2,19,259,0,46
"17",5314,2,1,2,477,0,15
"18",106598,3,1,20,280,0,7
"19",72065,20,2,90,259,0,46
"20",37301,14,1,13,349,0,40
"21",28735,12,1,19,265,0,19
"22",66918,64,1,25,459,0,34
"23",25761,9,1,10,215,0,4
"24",8362,7,1,19,101,0,21
"25",45257,3,1,18,280,0,3
"26",145896,64,1,13,459,0,7
"27",162976,3,1,13,115,0,32
"28",52432,1,1,13,115,0,34
"29",135690,12,1,40,122,0,13
"30",139137,12,1,13,497,0,20
"31",48846,3,1,19,379,0,6
"32",70747,64,1,15,459,0,28
"33",10831,15,1,19,386,0,25
"34",89242,1,1,27,124,0,19
"35",140138,12,1,13,265,0,14
"36",28411,14,1,13,442,0,47
"37",127888,13,1,23,477,0,32
"38",75943,2,1,53,477,0,26
"39",87879,3,1,13,115,0,6
"40",250933,3,1,13,280,0,22
"41",133933,12,1,13,140,0,22
"42",35096,18,1,19,107,0,30
"43",49431,15,1,49,245,0,46
"44",53365,15,1,19,111,0,8
"45",92599,25,2,13,259,0,20
"46",107148,15,1,13,140,0,1
"47",116677,9,1,13,134,0,1
"48",11051,15,1,19,245,0,4
"49",48240,2,1,19,122,0,29
"50",92488,14,1,18,401,0,35
"51",74999,11,1,13,137,0,30
"52",123221,15,1,20,245,0,31
"53",4019,12,1,19,265,0,2
"54",40168,8,1,13,145,0,4
"55",328403,15,1,13,278,0,6
"56",134466,64,1,13,459,0,21
"57",122354,9,1,19,134,0,46
"58",104645,14,1,19,379,0,25
"59",184757,3,1,13,409,0,19
"60",3488,3,1,22,115,0,0
"61",63994,3,1,13,115,0,6
"62",52076,23,1,10,153,0,33
"63",88604,6,1,17,459,0,32
"64",9073,3,1,37,466,0,9
"65",105861,3,1,10,442,0,40
"66",25114,18,1,13,107,0,4
"67",25876,21,1,26,128,0,19
"68",61941,64,1,41,459,0,46
"69",79827,11,1,19,481,0,36
"70",99641,15,1,22,386,0,7
"71",171729,9,1,13,334,0,21
"72",257816,3,1,19,424,0,24
"73",100494,64,1,8,459,0,27
"74",5348,8,1,11,145,0,26
"75",137208,2,1,13,212,0,20
"76",81356,56,1,9,406,0,23
"77",58128,15,1,13,245,0,24
"78",71483,3,1,9,115,0,1
"79",7521,12,1,15,409,0,24
"80",100066,18,1,14,134,0,18
"81",259930,15,1,28,245,0,23
"82",30240,3,1,17,137,0,32
"83",63109,23,1,25,153,0,3
"84",5314,28,1,19,135,0,28
"85",36311,3,1,19,115,0,1
"86",44494,9,1,17,489,0,22
"87",111021,36,1,15,373,0,11
"88",210555,9,1,8,134,0,32
"89",6414,2,1,47,377,0,28
"90",123729,18,1,10,107,0,46
"91",73040,14,1,19,401,0,33
"92",334558,2,1,13,435,0,11
"93",123994,1,1,19,101,0,28
"94",94536,3,1,25,424,0,9
"95",127351,25,1,13,259,0,32
"96",2600,12,1,18,265,0,38
"97",99926,12,1,13,245,0,36
"98",114878,2,2,9,477,0,5
"99",173847,3,1,13,452,0,29
"100",145747,12,1,13,178,0,27
"101",94081,9,1,18,445,0,5
"102",74725,9,1,13,334,0,21
"103",51895,18,1,17,107,0,14
"104",75431,9,1,13,334,0,23
"105",104922,14,1,3,442,0,9
"106",173247,14,1,6,439,0,46
"107",124006,12,1,13,242,0,10
"108",77310,15,1,19,315,0,30
"109",61667,8,2,97,259,0,10
"110",118349,21,1,19,128,0,2
"111",46650,2,1,13,237,0,7
"112",337099,3,1,19,280,0,14
"113",34067,1,1,15,134,0,30
"114",61635,15,1,10,3,0,22
"115",145260,14,1,19,480,0,9
"116",110245,8,1,22,145,0,45
"117",77730,15,1,13,245,0,32
"118",108831,18,1,10,107,0,13
"119",124794,23,1,13,153,0,27
"120",61706,14,1,15,439,0,24
"121",91175,23,1,13,153,0,2
"122",82618,18,1,19,107,0,19
"123",81970,7,1,18,101,0,23
"124",301417,22,1,19,116,0,46
"125",187501,12,1,41,245,0,3
"126",20295,3,1,13,280,0,31
"127",25885,3,1,19,424,0,3
"128",104753,1,1,19,125,0,19
"129",191339,28,1,19,135,0,21
"130",103208,26,1,22,121,0,31
"131",92092,23,1,19,153,0,23
"132",82427,3,1,11,280,0,17
"133",47543,13,1,19,400,0,27
"134",335694,2,1,8,435,0,10
"135",175559,3,1,8,442,0,7
"136",158312,14,1,13,439,0,11
"137",108040,3,1,19,115,0,18
"138",85072,17,2,9,280,0,10
"139",197093,15,1,19,265,0,47
"140",209540,2,1,18,477,0,27
"141",79909,21,1,4,128,0,38
"142",199702,18,1,17,376,0,9
"143",40372,9,1,31,442,0,1
"144",178124,2,1,13,469,0,5
"145",18654,18,1,27,107,0,17
"146",20309,8,1,13,140,0,20
"147",74640,3,1,16,424,0,2
"148",93460,15,1,13,130,0,10
"149",80455,3,1,15,371,0,3
"150",104729,12,1,6,140,0,27
"151",58485,3,1,25,280,0,14
"152",91885,3,1,16,442,0,34
"153",111324,12,1,13,178,0,6
"154",27342,12,1,19,259,0,2
"155",153208,18,1,13,107,0,32
"156",54868,12,1,6,259,0,37
"157",278420,2,1,3,469,0,23
"158",204614,9,1,3,466,0,19
"159",85172,2,1,19,435,0,25
"160",103161,13,1,3,400,0,25
"161",59075,14,2,30,467,0,22
"162",239191,3,1,19,452,0,25
"163",85839,2,1,19,435,0,13
"164",71424,3,1,22,280,0,13
"165",63516,27,1,13,153,0,24
"166",37919,6,1,19,459,0,34
"167",43809,3,1,17,280,0,22
"168",39454,6,1,13,125,0,27
"169",8718,12,1,13,259,0,4
"170",58950,2,1,19,237,0,2
"171",86812,2,1,32,401,0,24
"172",55805,18,1,16,107,0,37
"173",175660,20,1,13,259,0,2
"174",29785,14,1,19,113,0,5
"175",88881,9,1,12,466,0,23
"176",134615,12,1,9,178,0,20
"177",34352,3,1,19,211,0,12
"178",124320,3,1,17,409,0,12
"179",80306,14,1,22,401,0,47
"180",24830,3,2,19,280,0,10
"181",195224,12,1,19,245,0,15
"182",72805,26,1,6,121,0,21
"183",93498,25,1,19,259,0,19
"184",111685,22,1,22,116,0,13
"185",83366,1,1,17,153,0,5
"186",94844,3,1,53,452,0,17
"187",105311,18,1,13,121,0,16
"188",168144,3,1,20,280,0,1
"189",20592,3,1,17,280,0,11
"190",100002,3,1,41,280,0,4
"191",37515,3,1,19,280,0,31
"192",121357,3,1,13,280,0,0
"193",63925,22,2,17,496,0,17
"194",83366,12,1,6,265,0,10
"195",26995,3,1,13,280,0,11
"196",37836,2,1,19,219,0,16
